pregnancy.day,sow,foetus,sex,weight,BPD_1,BPD_2,CVD_1,CVD_2,ROL_1,ROL_2,AC_1,AC_2,ASD_1,ASD_2,ATD_1,ATD_2,HL_1,HL_2
64,2,2,f,157.3,2.61,2.56,0.988,1.07,4.96,4.97,13.07,13.13,4.83,4.76,3.42,3.48,1.71,1.8
64,2,3,f,150.8,2.73,2.7,1.13,1.16,4.76,4.89,12.48,12.47,4.42,4.36,3.45,3.47,1.77,1.86
64,2,7,f,130.4,2.53,2.53,1.25,1.22,4.8,4.73,12.09,12.34,3.99,4.06,3.58,3.64,1.9,1.89
64,2,8,f,124.2,2.58,2.57,1.02,0.953,5.19,5.24,11.95,11.86,4.13,4.1,3.45,3.58,1.84,2.01
64,2,10,f,176.5,2.62,2.56,0.941,1.01,4.97,5.09,13.48,13.16,4.6,4.54,3.81,3.79,2,2.02
92,3,1,f,690,3.95,3.96,1.28,1.32,8.34,8.56,20.32,20.31,6.64,6.87,6.12,6.26,2.76,2.63
92,3,2,f,670,3.97,3.82,1.32,1.35,7.99,7.89,20.15,20.17,6.27,6.71,6.09,6.15,2.86,2.84
92,3,3,f,520,3.79,3.63,1.28,1.21,8.21,8.1,18.22,18.56,5.64,5.66,5.02,4.95,2.62,2.62
92,3,7,f,580,3.49,3.59,1.26,1.19,7.98,7.98,20.61,18.42,6.78,6.1,5.07,5.09,2.7,2.73
92,3,8,f,760,3.79,3.77,1.34,1.3,8.21,8.32,21.82,21.87,7.21,7.26,5,4.98,2.81,2.83
